Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-01-13,The Amazing Spider-Man,2012,https://boxd.it/2tnKg3,2,Yes,,2022-01-12
2022-01-14,Wild,2014,https://boxd.it/2tzOJx,3,,,2022-01-13
2022-01-15,The Amazing Spider-Man 2,2014,https://boxd.it/2tPW8B,3,,,2022-01-14
2022-01-15,"tick, tick... BOOM!",2021,https://boxd.it/2tPWmD,4.5,Yes,,2022-01-14
2022-01-15,High School Musical,2006,https://boxd.it/2tYHGL,3.5,Yes,,2022-01-14
2022-01-16,John Wick,2014,https://boxd.it/2u3JOH,4,Yes,,2022-01-15
2022-01-16,Moneyball,2011,https://boxd.it/2u6ZDL,3.5,,,2022-01-15
2022-01-19,John Wick: Chapter 2,2017,https://boxd.it/2uR6H3,4,Yes,,2022-01-18
2022-01-21,Taxi Driver,1976,https://boxd.it/2vfr03,4,,,2022-01-20
2022-01-22,Licorice Pizza,2021,https://boxd.it/2vrLAp,4.5,,,2022-01-21
2022-01-23,Citizen Kane,1941,https://boxd.it/2vBZi5,4.5,,,2022-01-22
2022-01-23,Sunset Boulevard,1950,https://boxd.it/2vE439,3,,,2022-01-22
2022-01-23,Casablanca,1942,https://boxd.it/2vFWcr,5,,,2022-01-22
2022-01-24,The Big Short,2015,https://boxd.it/2vRuCF,4,,,2022-01-23
2022-01-27,Hawkeye,2021,https://boxd.it/2wuk6H,2,,,2022-01-26
2022-01-29,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/2wXWQB,3,Yes,,2022-01-28
2022-01-29,Beauty and the Beast,2017,https://boxd.it/2wXX5r,2,,,2022-01-28
2022-01-31,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/2xj0WF,4,,,2022-01-30
2022-02-02,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2xGvcT,4,Yes,,2022-02-01
2022-02-07,House of Gucci,2021,https://boxd.it/2yC1Dr,3,,,2022-02-06
2022-02-14,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2zSMmN,2.5,Yes,,2022-02-12
