Date,Name,Year,Letterboxd URI,Rating
2021-08-29,Drive,2011,https://boxd.it/IG,3.5
2021-08-29,Insurgent,2015,https://boxd.it/7NNa,1.5
2021-08-29,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,1.5
2021-08-29,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,2
2021-08-29,Assassin's Creed,2016,https://boxd.it/41IK,1
2021-08-29,Alita: Battle Angel,2019,https://boxd.it/e0rS,2
2021-08-29,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,1.5
2021-08-29,San Andreas,2015,https://boxd.it/7sUa,1.5
2021-08-29,Jurassic World,2015,https://boxd.it/4n0g,3
2021-08-29,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2021-08-29,Incredibles 2,2018,https://boxd.it/7IPg,2
2021-08-29,Mowgli: Legend of the Jungle,2018,https://boxd.it/el2E,2
2021-08-29,Deadpool 2,2018,https://boxd.it/dlLM,2
2021-08-29,Annihilation,2018,https://boxd.it/9yzm,2.5
2021-08-29,I Am Legend,2007,https://boxd.it/21DG,2.5
2021-08-29,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,2.5
2021-08-29,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3
2021-08-29,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,2.5
2021-08-29,War for the Planet of the Apes,2017,https://boxd.it/8FE2,3
2021-08-29,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,3.5
2021-08-29,The Circle,2017,https://boxd.it/bj1I,1
2021-08-29,Real Steel,2011,https://boxd.it/147m,2.5
2021-08-29,TRON: Legacy,2010,https://boxd.it/1Dlo,2.5
2021-08-29,American Sniper,2014,https://boxd.it/5LDy,2
2021-08-29,The Conjuring,2013,https://boxd.it/4sr2,3.5
2021-08-29,21 Jump Street,2012,https://boxd.it/J0,3
2021-08-29,22 Jump Street,2014,https://boxd.it/5Fvy,2
2021-08-29,Hush,2016,https://boxd.it/d5ys,2.5
2021-08-29,The First Purge,2018,https://boxd.it/fJfk,2
2021-08-29,Star Trek,2009,https://boxd.it/1Q6c,2
2021-08-29,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2
2021-08-29,Inside Man,2006,https://boxd.it/2auS,3.5
2021-08-29,Halloween,2018,https://boxd.it/f0uE,2.5
2021-08-29,The Big Lebowski,1998,https://boxd.it/2b6C,4
2021-08-29,Loki,2021,https://boxd.it/sbHg,4
2021-08-30,Die Hard,1988,https://boxd.it/2a7u,4
2021-08-30,Frozen II,2019,https://boxd.it/aPvo,2.5
2021-08-30,Sonic the Hedgehog,2020,https://boxd.it/gdK8,1.5
2021-08-30,Kung Fu Panda,2008,https://boxd.it/1Yws,3
2021-08-30,Kung Fu Panda 2,2011,https://boxd.it/G36,3
2021-08-30,Ratatouille,2007,https://boxd.it/27ww,4
2021-08-30,Finding Nemo,2003,https://boxd.it/72i,4
